,Timestamp,email,"If you used strategies/tips for memorizing vocabulary, did they help you in the follow-up?",strategies helpful,"If you are interested in participating in future studies, please add an email-address where we can contact you."
0,2019/06/05 6:07:21 PM GMT+2,35,"I used some strategies to memorize, but can not tell if they helped me or not.",m,
1,2019/06/05 6:11:25 PM GMT+2,36,Yes. Strategies like memorizing vocabulary using mnemonics and relating words with pictures,y,36
2,2019/06/05 6:11:47 PM GMT+2,5,"yes. I associated some words with english, or other languages I already knew (by removing letters or changing its shape in general) and it was easier to remember",y,5
3,2019/06/05 6:13:01 PM GMT+2,11,No,n,11
4,2019/06/05 6:15:36 PM GMT+2,29,No,n,29
5,2019/06/05 6:15:41 PM GMT+2,25,"Yes, I could remember some of the imagery i had created during the previous session. In particular the little girl on the island, the bear which is a car (karhu), the lake source (lakesoosa), the rainy collar (rainikohla).
Some of the sound-based techniques also worked, such as 'maahkunta' ~= 'my country' ie. province
But a lot of the words i simply couldn't remember",y,25
6,2019/06/05 6:16:50 PM GMT+2,13,Not really,n,13
7,2019/06/05 6:17:45 PM GMT+2,40,nope ,n,40
8,2019/06/05 6:19:05 PM GMT+2,17,"I tried to memorize them by making funny associations, some of them I remembered, but honestly very often I was confused by similar looking words, and it is possible I assigned two different terms to the same word. ",y,17
9,2019/06/05 6:19:20 PM GMT+2,23,"yes, when I saw certain words, I immediately remembered the play on words I had memorized for said word. However, I didn't recognize most of the words in the test, which was problematic. ",y,23
10,2019/06/05 6:19:21 PM GMT+2,8,No,n,8
11,2019/06/05 6:19:21 PM GMT+2,4,"A little, by remembering words similar to the finnish word in question
Ex: ""saarella""(or however it is spelled) ~= ""Sarella"", Game of Thrones character 
=> Memorize: ""Game of thrones"" <=> Island",y,
12,2019/06/05 6:20:09 PM GMT+2,33,"Some of them did. Mnemonics, like ""municipality"" that sounds close to ""county"", ""single"" that sounds close to Slavic ""odyn/jeden"", the fact that the names of the month have a specific ending, I could somehow see the word ""success"" in the Finnish word for ""order""",y,33
13,2019/06/05 6:20:32 PM GMT+2,31,"some helped. By making a ""phrase"" of the translation and the finnish word. Toi (something): working (work) with toys. Liike: I like movement",y,
14,2019/06/05 6:20:46 PM GMT+2,19,i did not use any specific strategy.,n,19
15,2019/06/05 6:21:51 PM GMT+2,1,"I remembered word 'river' by thinking of a girl's name 'joen'. It was also helpful to think about how words look, which is how I remembered words 'home' and 'base' e.g.",y,1
