,Timestamp,email,Vocabulary tables: Did you use any tricks or strategies to remember translations from the vocabulary tables?,table lenient,table Strict (when in doubt count as strategy),table strategy (new categorization),table strategy,table syntactic,table semantic,Wikipedia articles: Did you use any tricks or strategies to remember translations when reading the Wikipedia articles?,"broccoli lenient Strategy (not counting repetitions or context, only counting ""unnatural connections"")",broccoli strict,Broccoli strategy (new),Broccoli strategy,Broccoli context,Broccoli syntactic,Broccoli semantic,How did you like the experience of reading Wikipedia articles with some translated words?,Suggestions for improvement (optional),Technical problems (optional),Anything else you'd like to tell us (optional)
2,2019/05/29 7:03:39 PM GMT+2,36,"Yes. Tricks like mnemonics, relating words to objects, visualizing",y,,y,y,,y,Yes. Trying to remember the meaning through context without clicking green box,n,,n,y,y,,,2,Wikipedia articles are difficult to understand due to hard vocabularies. Simpler texts would help understand articles and the meanings of finnish words better.,,
3,2019/05/29 7:20:38 PM GMT+2,35,"yes, to associate the looks and sounds of the words to some of their general ideas",y,,y,y,y,,no,n,,n,n,,,,3,,,
4,2019/05/29 7:25:28 PM GMT+2,25,"Yes, making images or stories linked to the words in my head.
laaksossa - sounds like 'lake sauce' or 'lake source', ie. a valley
Karhu - 'kar' sounds like car, 'hu' is close to hood. I imagine a bear riping off a car hood
maakunta - sounds like 'my county' ie. a province
maarasasku - sounds like 'marre', swamp in French, a rainy, swampy month, ie. november
pieni - close 'penis', men stereotypically concerned of having too small of one
maailman - I imagine a mailman with a satchel containing the world
saarelia (or something like that) - a happy little girl called Sarah living on her desert island
raanikolla - sounds like 'rainy collar', a coast

I tried making a sentence: kuvata pyha kuva (or something like that) - describe a small figure",y,,y,y,,y,No,n,,n,n,,,,1,,,
5,2019/05/29 7:27:09 PM GMT+2,20,No,n,,n,n,,,read them more carefully,n,,n,n,,,,3,,,
6,2019/05/29 7:27:26 PM GMT+2,11,not really,n,,n,n,,,not really,n,,n,n,,,,2,too much articles to read,,
7,2019/05/29 7:31:19 PM GMT+2,5,Some words looked a bit similar in english. I tried to create phrases. Tried to find patterns (like all months ended in kuun),y,,y,y,y,,Tried to remember phrases.,n,,y,y,y,,,2,,,
8,2019/05/29 7:32:23 PM GMT+2,15,yes : words that sounds similar to me in other languages,y,,y,y,y,,same as before,y,,y,y,,y,,5,maybe less articles ! it gets really confusing at the end,nop,nop
9,2019/05/29 7:33:32 PM GMT+2,21,No.,n,,n,n,,,No.,n,,n,n,,,,3,,,:) Danke schön.
10,2019/05/29 7:36:28 PM GMT+2,40,No,n,,n,n,,,Just read them,n,,n,n,,,,4,"It was nice, I liked it",No,"Nothing, cheers "
11,2019/05/29 7:38:56 PM GMT+2,22,some looked like english words so I used that to associate the meaning,y,,y,y,y,,I tried to use context to remember what words meant,n,,n,y,y,,,3,,,
12,2019/05/29 7:41:55 PM GMT+2,13,Some words made sense (King) and other just looked like other french words with a total different meaning so I tried to remember the meaning,n,y,n,y,y,,Just memory,n,,n,n,,,,4,,,
13,2019/05/29 7:42:06 PM GMT+2,16,"yes : put the easiest finnish word and their translation in a sentence, found similar prononciaition, ",y,,y,y,y,,no,n,,n,n,,,,3,less pages to read : amount of general information added to words in foreign language is a bit too much to just try and rememeber these words,,
14,2019/05/29 7:42:12 PM GMT+2,24,I tried to find meaning in the finnish words (in german Eselsbrücken),y,,y,y,,y,"No, it was quite annoying to read those articles and I didnt learn the vocabulary fast that way",n,,n,n,,,,1,,,"Despite not liking the wikipedia articles at all, I like the idea of it. But I would much prefer to have the same words in the articles in finnish as in the vocab list. And also it would be nice to stick with one article and not jump from one to thw next all the time - makes it very frustrating to leave something on is interested in or something that is nice to read"
15,2019/05/29 7:43:18 PM GMT+2,14,"for some words, I assigned a picture to them in my mind",y,,y,y,,y,understand them by context,n,,n,y,y,,,3,,,The amount of Wikipedia articles was too huge! make it less if it is possible. It was really boring.
16,2019/05/29 7:43:18 PM GMT+2,19,no,n,,n,n,,,no,n,,n,n,,,,2,,,
