,Timestamp,email,Gender,Age,Degree you are currently working on,highest finished degree,Native language,List all languages that you speak and provide your skill level according to the scale given above,A1,A2,B1,B2,C1,C2,D,How did you hear about Broccoli?
4,2019/05/29 6:05:34 PM GMT+2,4,Female,22,Master,b,"English, French, Swiss German","English = D
French = D
Swiss German = D
German = D
Spanish = C1",,,,,1.0,,4,2 emails + flyer + poster
5,2019/05/29 6:08:42 PM GMT+2,19,Male,23,Master,b,Italian,"English = C1, French = A2",,1.0,,,1.0,,1,INM study room
6,2019/05/29 6:10:27 PM GMT+2,15,Male,20,Bachelor,s,french ,"french = D , English = C1, Spanish = B2, German = B2",,,,2.0,1.0,,1,email
7,2019/05/29 6:10:30 PM GMT+2,0,Male,20,Bachelor,s,French,"French = D, English = C2, German = B1, Spanish = A1",1.0,,1.0,,,1.0,1,forwarded e-mail in IN-section
8,2019/05/29 6:10:43 PM GMT+2,36,Male,26,PhD,m,Nepali,"English = C1, Nepali - D, Newari - D, Hindi - C1",,,,,2.0,,2,Flyers
9,2019/05/29 6:10:43 PM GMT+2,3,Male,21,Bachelor,s,french,french D english C1 german A1 italian A1,2.0,,,,1.0,,1,email
10,2019/05/29 6:10:54 PM GMT+2,5,Female,26,Master,b,Greek,"English = C2, Spanish = B1, French = A1",1.0,,1.0,,,1.0,1,from the email
11,2019/05/29 6:10:56 PM GMT+2,11,Female,22,Bachelor,s,"French, Turkish","German = B1, English = B2",,,1.0,1.0,,,2,At Rolex
12,2019/05/29 6:11:14 PM GMT+2,29,Male,23,Master,b,Vietnamese,"Vietnamese = D, English = C2, French = B1",,,1.0,,,1.0,1,From a friend sharing the email
13,2019/05/29 6:11:37 PM GMT+2,35,Male,15,Bachelor,s,French,"French = D, English = C1, German = B1",,,1.0,,1.0,,1,someone sent me an email about it
14,2019/05/29 6:11:52 PM GMT+2,37,Male,23,Master,b,Hindi,"English = C2, French = B1",,,1.0,,,1.0,1,"Hated it as child with burning passion. But on a serious note, from myjob.epfl"
15,2019/05/29 6:11:57 PM GMT+2,40,Male,29,Master,b,Greek,"Greek=D, English=C2, German=B1",,,1.0,,,1.0,1,email 
