email,lemma (Musterlösung),answer in session 1,answer in session 2,location,correct in session 1,correct in session 2
7,action,toiminta,,swiss,,
8,action,action,-1,swiss,1,
13,action,,-1,swiss,,
16,action,institution,-1,swiss,0,
18,action,,action,swiss,,1
24,action,,-1,swiss,,
27,action,action,-1,swiss,1,
30,action,,-1,swiss,,
31,action,,-1,swiss,,
33,action,action,,swiss,1,
35,action,,,swiss,,
36,action,education,education,swiss,0,0
42,action,actions,organisation,aachen,1,0
45,action,,,aachen,,
46,action,program,program,aachen,0,0
47,action,,,aachen,,
48,action,,,aachen,,
55,action,,,aachen,,
5,action,-1,,swiss,,
4,action,-1,,swiss,,
38,action,-1,,swiss,,
1,bear,,-1,swiss,,
2,bear,,-1,swiss,,
3,bear,bear,-1,swiss,1,
4,bear,son,,swiss,0,
7,bear,karhu,born,swiss,,1
8,bear,,-1,swiss,,
9,bear,nominated,-1,swiss,0,
11,bear,?,-1,swiss,,
14,bear,,-1,swiss,,
15,bear,,-1,swiss,,
16,bear,,-1,swiss,,
18,bear,,,swiss,,
20,bear,,-1,swiss,,
21,bear,king,-1,swiss,0,
22,bear,,-1,swiss,,
24,bear,bear,-1,swiss,1,
25,bear,bear,-1,swiss,1,
30,bear,,-1,swiss,,
31,bear,king,-1,swiss,0,
32,bear,reseigned,-1,swiss,0,
33,bear,bear,bear,swiss,1,1
35,bear,,,swiss,,
36,bear,king,,swiss,0,
37,bear,advisor,advisor,swiss,0,0
39,bear,,-1,swiss,,
41,bear,named,king,aachen,0,0
42,bear,,,aachen,,
45,bear,,,aachen,,
46,bear,,husband,aachen,,0
47,bear,,,aachen,,
48,bear,,,aachen,,
49,bear,,father,aachen,,0
50,bear,,,aachen,,
54,bear,,,aachen,,
55,bear,,,aachen,,
56,bear,,,aachen,,
57,bear,,,aachen,,
5,bear,-1,,swiss,,
17,bear,-1,,swiss,,
26,bear,-1,,swiss,,
38,bear,-1,,swiss,,
0,begin,begin,-1,swiss,1,
1,begin,begun,-1,swiss,1,
2,begin,,-1,swiss,,
3,begin,abolished,-1,swiss,0,
4,begin,began,,swiss,1,
5,begin,were,consist,swiss,0,0
6,begin,,-1,swiss,,
7,begin,alkaa,,swiss,,
8,begin,,-1,swiss,,
9,begin,support,-1,swiss,0,
10,begin,,-1,swiss,,
11,begin,begin,-1,swiss,1,
12,begin,,-1,swiss,,
13,begin,,-1,swiss,,
14,begin,began,-1,swiss,1,
15,begin,began,-1,swiss,1,
16,begin,,-1,swiss,,
17,begin,begin,began,swiss,1,1
18,begin,begin,began,swiss,1,1
19,begin,,-1,swiss,,
20,begin,,-1,swiss,,
21,begin,,-1,swiss,,
22,begin,,-1,swiss,,
23,begin,,-1,swiss,,
24,begin,began,-1,swiss,1,
25,begin,,-1,swiss,,
26,begin,began,,swiss,1,
27,begin,,-1,swiss,,
28,begin,include,,swiss,0,
29,begin,,-1,swiss,,
30,begin,,-1,swiss,,
31,begin,origin,-1,swiss,2,
32,begin,started,-1,swiss,2,
33,begin,began,begin,swiss,1,1
34,begin,,-1,swiss,,
35,begin,,supported,swiss,,0
37,begin,got,won,swiss,0,0
38,begin,,,swiss,,
39,begin,,-1,swiss,,
40,begin,help,-1,swiss,0,
41,begin,imposed,detained,aachen,0,0
42,begin,,,aachen,,
43,begin,began,,aachen,1,
44,begin,start,,aachen,2,
45,begin,begin,began,aachen,1,1
46,begin,,,aachen,,
47,begin,,,aachen,,
48,begin,claim,,aachen,0,
50,begin,,,aachen,,
51,begin,have,begin,aachen,0,1
52,begin,like,are,aachen,0,0
53,begin,,,aachen,,
54,begin,were,to start,aachen,0,2
55,begin,,,aachen,,
56,begin,,,aachen,,
57,begin,,,aachen,,
36,begin,-1,,swiss,,
49,begin,-1,,aachen,,
1,century,century,-1,swiss,1,
2,century,century,-1,swiss,1,
3,century,century,-1,swiss,1,
4,century,century,-1,swiss,1,
9,century,Century,-1,swiss,1,
11,century,century,-1,swiss,1,
14,century,century,-1,swiss,1,
15,century,century,-1,swiss,1,
20,century,century,-1,swiss,1,
22,century,century,-1,swiss,1,
32,century,century,-1,swiss,1,
37,century,century,century,swiss,1,1
39,century,century,-1,swiss,1,
41,century,January,January,aachen,0,0
49,century,century,century,aachen,1,1
50,century,century,century,aachen,1,1
54,century,century,century,aachen,1,1
56,century,century,century,aachen,1,1
57,century,centry,century,aachen,1,1
17,century,-1,century,swiss,,1
26,century,-1,century,swiss,,1
1,child,children,-1,swiss,1,
2,child,children,-1,swiss,1,
3,child,children,-1,swiss,1,
4,child,children,-1,swiss,1,
9,child,childreen,-1,swiss,1,
11,child,children,-1,swiss,1,
14,child,children,-1,swiss,1,
15,child,child,-1,swiss,1,
20,child,kids,-1,swiss,2,
22,child,children,-1,swiss,1,
25,child,children,-1,swiss,1,
32,child,child,-1,swiss,1,
37,child,children,children,swiss,1,1
39,child,children,-1,swiss,1,
41,child,children,children,aachen,1,1
49,child,children,children,aachen,1,1
50,child,children,children,aachen,1,1
54,child,people,people,aachen,0,0
56,child,children,children,aachen,1,1
57,child,childs,childrens,aachen,1,1
17,child,-1,students,swiss,,0
26,child,-1,children,swiss,,1
0,colony,colony,-1,swiss,1,
5,colony,,-1,swiss,,
6,colony,trade,-1,swiss,0,
10,colony,colony,-1,swiss,1,
12,colony,lands,-1,swiss,0,
17,colony,colonies,-1,swiss,1,
19,colony,community,-1,swiss,0,
23,colony,colony,-1,swiss,1,
26,colony,Empire,-1,swiss,0,
28,colony,colony,colony,swiss,1,1
29,colony,colony,-1,swiss,1,
34,colony,colonies,-1,swiss,1,
38,colony,colony,-1,swiss,1,
40,colony,colony,-1,swiss,1,
43,colony,colony,colonies,aachen,1,1
44,colony,,,aachen,,
51,colony,colonies,colonization,aachen,1,1
52,colony,province,community,aachen,2,0
53,colony,colony,colony,aachen,1,1
0,come,came,-1,swiss,1,
1,come,,-1,swiss,,
2,come,rose,-1,swiss,0,
3,come,came,-1,swiss,1,
4,come,came,-1,swiss,1,
5,come,got,-1,swiss,0,
6,come,,-1,swiss,,
9,come,...,-1,swiss,,
10,come,came,-1,swiss,1,
11,come,came,-1,swiss,1,
12,come,came,-1,swiss,1,
14,come,claim,-1,swiss,0,
15,come,,-1,swiss,,
17,come,came,,swiss,1,
19,come,,-1,swiss,,
20,come,,-1,swiss,,
22,come,came,-1,swiss,1,
23,come,came,-1,swiss,1,
25,come,came,-1,swiss,1,
26,come,,came,swiss,,1
28,come,arrive,,swiss,2,
29,come,climb,-1,swiss,0,
32,come,,-1,swiss,,
34,come,rose,-1,swiss,0,
37,come,came,rose,swiss,1,0
38,come,,-1,swiss,,
39,come,came,-1,swiss,1,
40,come,came,-1,swiss,1,
41,come,tried,tried,aachen,0,0
43,come,came,came,aachen,1,1
44,come,,,aachen,,
49,come,came,,aachen,1,
50,come,came,came,aachen,1,1
51,come,,upcoming,aachen,,0
52,come,worked,turn,aachen,0,0
53,come,came,,aachen,1,
54,come,assended,decided,aachen,0,0
56,come,,,aachen,,
57,come,,,aachen,,
7,derive,johdetaan,comes,swiss,,2
